Charge rate scale, naive-time, greedy-time
-40, 6.907467334, 4.519797717
-35, 6.671709683, 4.403273865
-30, 6.469631697, 4.299871109
-25, 6.294497442, 4.208465591
-20, 6.141254969, 4.273647264
-15, 6.006041023, 4.358906007
-10, 5.885850848, 4.256077796
-5, 5.77831227, 4.104010358
0, 5.681527551, 4.041299914
5, 5.593960423, 3.981580614
10, 5.514353944, 3.90583765
15, 5.441669767, 3.861907196
20, 5.375042605, 3.821099966
25, 5.313745616, 3.783473154
30, 5.25716378, 3.748740711
35, 5.204773191, 3.715119414
40, 5.156124786, 3.681199819
45, 5.110831445, 3.649619506
50, 5.068557659, 3.620144548
55, 5.029011215, 3.592571199
60, 4.991936423, 3.566388896
65, 4.957108588, 3.541389346
70, 4.924329449, 3.517860358
75, 4.893423404, 3.495675884