driving distance, naive-time, naive-fail, hybrid-time, hybrid-fail, greedy-time, greedy-fail
50,0.676220308647,0,0,0,0.675439545043,0
75,0.944414265826,0,0,0,0.943242740732,0
100,1.28004474795,0,0,0,1.27849767656,0
125,1.75066521201,0,0,0,1.61667850416,0
150,2.87002679514,0,0,0,inf,1
175,2.59052857374,0,0,0,6.89792932821,0
200,2.72377583757,0,0,0,inf,1
225,7.99578801154,0,0,0,inf,1
250,8.09177669874,0,0,0,inf,1
275,17.791107552,0,0,0,inf,1
300,10.7102573793,0,0,0,inf,1
325,8.01550554005,0,0,0,inf,1
350,7.73019700775,0,0,0,6.87198938348,0
375,12.3379098029,0,0,0,10.5143300339,0
400,17.6718883962,0,0,0,9.38651730335,0
425,11.7677451595,0,0,0,10.6121091824,0
driving distance, naive-time, naive-fail, hybrid-time, hybrid-fail, greedy-time, greedy-fail
50,0.656283851992,0,0,0,0.655508162985,0
75,0.833693084948,0,0,0,0.832936438665,0
100,1.10796424101,0,0,0,inf,1
125,1.62636495413,0,0,0,1.6244611348,0
150,2.58672310828,0,0,0,2.25599502991,0
175,6.77439429452,0,0,0,2.47006221461,0
200,9.84513708419,0,0,0,3.45732988687,0
225,10.7655300154,0,0,0,3.39360438553,0
250,4.72447534401,0,0,0,3.97999584662,0
275,11.8090303239,0,0,0,inf,1
300,6.60353607322,0,0,0,5.09195129465,0
325,6.14608104418,0,0,0,inf,1
350,6.90454710629,0,0,0,8.00703956225,0
375,8.42182572988,0,0,0,6.76472949359,0
400,8.96580183633,0,0,0,inf,1
425,10.0212234938,0,0,0,7.78622449212,0
450,10.6120858118,0,0,0,inf,1
475,12.261161791,0,0,0,8.47663334079,0
driving distance, naive-time, naive-fail, hybrid-time, hybrid-fail, greedy-time, greedy-fail
50,0.75678899001,0,0,0,0.756087591478,0
75,0.796769501192,0,0,0,0.795933167707,0
100,1.47764553675,0,0,0,1.28485163699,0
125,1.65315902455,0,0,0,1.65132155761,0
150,1.77511901918,0,0,0,2.00825377489,0
175,4.56949359268,0,0,0,3.63856623593,0
200,3.1055983094,0,0,0,3.41542419785,0
225,4.85654909502,0,0,0,4.20352771265,0
250,3.40755588768,0,0,0,4.48584980449,0
275,4.6217567653,0,0,0,inf,1
300,3.93046612436,0,0,0,inf,1
325,13.0911713713,0,0,0,inf,1
350,10.8219927812,0,0,0,7.25480225729,0
375,8.0321408433,0,0,0,inf,1
400,22.5493004798,0,0,0,7.25234873311,0
425,9.756583824,0,0,0,7.54739965384,0
450,15.4947609803,0,0,0,inf,1
475,19.9838318486,0,0,0,8.57105507118,0
driving distance, naive-time, naive-fail, hybrid-time, hybrid-fail, greedy-time, greedy-fail
50,0.733510651954,0,0,0,0.732597931492,0
75,0.815219354878,0,0,0,0.814452803521,0
100,1.16977794909,0,0,0,1.1687142356,0
125,1.63741111448,0,0,0,1.53184620157,0
150,4.99558179808,0,0,0,inf,1
175,2.08356514301,0,0,0,inf,1
200,3.55609416439,0,0,0,4.08661624178,0
225,7.3208370301,0,0,0,3.73290506267,0
250,3.44561857685,0,0,0,inf,1
275,8.47589100917,0,0,0,4.53990937845,0
300,6.48182534743,0,0,0,6.14104903786,0
325,12.5585624979,0,0,0,inf,1
driving distance, naive-time, naive-fail, hybrid-time, hybrid-fail, greedy-time, greedy-fail
50,0.638642312077,0,0,0,0.638092531312,0
75,0.961312858367,0,0,0,0.960219469343,0
100,1.01982348474,0,0,0,1.01873815676,0
125,1.65593786489,0,0,0,1.65394533813,0
150,1.99991685244,0,0,0,1.99766627663,0
175,2.77303543087,0,0,0,3.30971190963,0
200,4.06143514148,0,0,0,3.05578160524,0
225,3.26959636445,0,0,0,4.01927389945,0
250,10.0492487637,0,0,0,4.1109217859,0
275,9.56735148637,0,0,0,4.40530106006,0
300,6.75098063769,0,0,0,4.83375180151,0
325,8.9788134512,0,0,0,inf,1
350,9.16624953393,0,0,0,6.49692154921,0
driving distance, naive-time, naive-fail, hybrid-time, hybrid-fail, greedy-time, greedy-fail
50,0.553944415616,0,0,0,0.553370088168,0
driving distance, naive-time, naive-fail, hybrid-time, hybrid-fail, greedy-time, greedy-fail
50,0.588088452357,0,0,0,0.58751339444,0
driving distance, naive-time, naive-fail, hybrid-time, hybrid-fail, greedy-time, greedy-fail
50,0.588238328868,0,0,0,0.587776550172,0
75,1.02150231221,0,0,0,1.02023718282,0
100,1.19729822982,0,0,0,1.19598271301,0
driving distance, naive-time, naive-fail, hybrid-time, hybrid-fail, greedy-time, greedy-fail
50,0.784203197609,0,0,0,0.783441338884,0
75,1.03186538486,0,0,0,1.03082731946,0
100,1.36608788742,0,0,0,1.36451676922,0
125,1.67113745807,0,0,0,1.35295282256,0
150,1.96166066871,0,0,0,1.9537636989,0
175,2.14994402476,0,0,0,1.94283322769,0
200,2.19104170421,0,0,0,2.16622712722,0
225,4.7494132842,0,0,0,inf,1
250,3.27995665945,0,0,0,3.03768523993,0
275,4.50348904349,0,0,0,3.24945551817,0
300,5.2964447148,0,0,0,3.43250513795,0
325,9.49725220451,0,0,0,4.20627981382,0
350,8.23408666693,0,0,0,5.33164239653,0
375,5.82602685275,0,0,0,inf,1
400,9.37485626859,0,0,0,6.02356598083,0
425,7.38251992241,0,0,0,inf,1
450,9.54829906559,0,0,0,inf,1
475,12.5639251649,0,0,0,6.0527267831,0
driving distance, naive-time, naive-fail, hybrid-time, hybrid-fail, greedy-time, greedy-fail
50,0.737463251531,0,0,0,0.736830185886,0
75,1.07181039972,0,0,0,1.0708553079,0
100,1.06009390034,0,0,0,1.05893958522,0
125,1.33169218144,0,0,0,1.13596650318,0
150,2.35598073107,0,0,0,1.80402553779,0
175,2.16299779229,0,0,0,2.04018028172,0
200,3.07535614024,0,0,0,2.6105222305,0

TEST SIMON:
settings: 30 km CS density, 5 iteration(s)
driving distance, naive-time, naive-fail, greedy-time, greedy-fail
50,0.619866897558,0,0.619202336203,0
75,0.96887420099,0,0.96791397062,0
100,1.25113322849,0,1.1342876776,0
125,1.65875754418,0,1.45840634585,0
150,2.00285081196,0,1.84118777397,1
175,2.35933315681,0,1.9548981013,1
200,3.19849593578,0,2.38101556366,1
250,3.70031977308,0,3.08207450891,3

TEST SIMON:
settings: 20 km CS density, 1 iteration(s)
driving distance, naive-time, naive-fail, greedy-time, greedy-fail
50,0.689010683193,0,0.688466762048,0
100,1.36639723498,0,1.36499319079,0
150,1.73987202073,0,1.71684581724,0
200,2.5300353439,0,2.18713425797,0
250,4.3583183047,0,3.11558644776,0
300,4.18532886138,0,inf,1
350,5.44632503469,0,inf,1
driving distance, naive-time, naive-fail, greedy-time, greedy-fail
300,4.74507179615,0,inf,1
