naive-time, naive-fail, greedy-time, greedy-fail
5.27568678792, 4.34568447028, 3.92853624827, 3.88586547555
4.58142903429, 3.45822054512, 3.42063778884, 3.42241246946
5.60207550309, 4.47730750178, 4.02140712049, 3.99385485042
6.0914356378, 4.23588235574, 3.9033219238, 3.92194179129
5.62355436, 4.10405232672, 3.9816482932, 3.9965400229


300,5.43483626463,4.10405232672,3.85111027492,3.9965400229
driving distance, naive-time, naive-fail, greedy-time, greedy-fail
400,7.44407215754,5.07489273572,4.70957937607,4.71022887764
driving distance, naive-time, naive-fail, greedy-time, greedy-fail
driving distance, naive-time, naive-fail, greedy-time, greedy-fail
400,6.32481977235,5.57850044302,4.77717262829,4.77671954128
